Continent,Subregion,Country,Year,Period,Medium,High,Low
Asia,South-Eastern Asia,Indonesia,1953,past,73820844,73820844,73820844
Asia,South-Eastern Asia,Lao People's Democratic Republic,1953,past,1805537,1805537,1805537
Asia,South-Eastern Asia,Malaysia,1953,past,6639418,6639418,6639418
Asia,South-Eastern Asia,Myanmar,1953,past,18792741,18792741,18792741
Asia,South-Eastern Asia,Philippines,1953,past,20669608,20669608,20669608
Asia,South-Eastern Asia,Singapore,1953,past,1177580,1177580,1177580
Asia,South-Eastern Asia,Thailand,1953,past,22436798,22436798,22436798
Asia,South-Eastern Asia,Timor-Leste,1953,past,428047,428047,428047
Asia,South-Eastern Asia,Viet Nam,1953,past,26646077,26646077,26646077
Asia,Western Asia,Armenia,1953,past,1461425,1461425,1461425
Asia,Western Asia,Azerbaijan,1953,past,3142813,3142813,3142813
Asia,Western Asia,Bahrain,1953,past,123496,123496,123496
Asia,Western Asia,Cyprus,1953,past,513429,513429,513429
Asia,Western Asia,Georgia,1953,past,3625614,3625614,3625614
Asia,Western Asia,Iraq,1953,past,6216129,6216129,6216129
Asia,Western Asia,Israel,1953,past,1525358,1525358,1525358
Asia,Western Asia,Jordan,1953,past,609980,609980,609980
Asia,Western Asia,Kuwait,1953,past,167991,167991,167991
Asia,Western Asia,Lebanon,1953,past,1434848,1434848,1434848
Asia,Western Asia,Oman,1953,past,477443,477443,477443
Asia,Western Asia,Qatar,1953,past,32062,32062,32062
Asia,Western Asia,Saudi Arabia,1953,past,3372837,3372837,3372837
Asia,Western Asia,State of Palestine,1953,past,948892,948892,948892
Asia,Western Asia,Syrian Arab Republic,1953,past,3690734,3690734,3690734
Asia,Western Asia,Turkey,1953,past,23081587,23081587,23081587
Asia,Western Asia,United Arab Emirates,1953,past,72771,72771,72771
Asia,Western Asia,Yemen,1953,past,4837606,4837606,4837606
Europe,Eastern Europe,Belarus,1953,past,7679688,7679688,7679688
Europe,Eastern Europe,Bulgaria,1953,past,7434686,7434686,7434686
Europe,Eastern Europe,Czechia,1953,past,9205973,9205973,9205973
Europe,Eastern Europe,Hungary,1953,past,9692902,9692902,9692902
Europe,Eastern Europe,Poland,1953,past,26260482,26260482,26260482
Europe,Eastern Europe,Republic of Moldova,1953,past,2490865,2490865,2490865
Europe,Eastern Europe,Romania,1953,past,17005719,17005719,17005719
Europe,Eastern Europe,Russian Federation,1953,past,107727310,107727310,107727310
Europe,Eastern Europe,Slovakia,1953,past,3664913,3664913,3664913
Europe,Eastern Europe,Ukraine,1953,past,38915814,38915814,38915814
Europe,Northern Europe,Channel Islands,1953,past,104320,104320,104320
Europe,Northern Europe,Denmark,1953,past,4380305,4380305,4380305
Europe,Northern Europe,Estonia,1953,past,1136906,1136906,1136906
Europe,Northern Europe,Faroe Islands,1953,past,31867,31867,31867
